Race,,Dist,500,Time,105.63
Split,Time,Secs,Vel,SR,
25,6.76,6.76,3.7,128.44,
50,11.27,4.51,5.55,147.78,
75,15.8,4.53,5.52,141.51,
100,20.48,4.68,5.34,136.71,
125,25.24,4.76,5.25,133.04,
150,30.13,4.88,5.12,131.29,
175,35.13,5,5,127.06,
200,40.28,5.15,4.86,124.74,
225,45.5,5.23,4.78,125.26,
250,50.82,5.31,4.71,124.48,
275,56.09,5.27,4.74,123.46,
300,61.36,5.27,4.75,123.97,
325,66.66,5.31,4.71,125.26,
350,72.05,5.39,4.64,125,
375,77.5,5.45,4.59,125.26,
400,82.98,5.48,4.57,124.76,
425,88.48,5.51,4.54,123.97,
450,94.07,5.58,4.48,124.06,
475,99.76,5.69,4.39,122.7,
500,105.63,5.87,4.26,119.78,
Av,,5.28,4.77,127.93,
