Race,,Dist,500,Time,01:52.7
Split,Time,Secs,Vel,SR,
25,6.78,6.78,3.69,131.25,
50,11.58,4.79,5.22,139.86,
75,16.56,4.98,5.02,129.59,
100,21.67,5.11,4.89,121.9,
125,26.94,5.27,4.75,118.81,
150,32.31,5.37,4.65,115.88,
175,37.68,5.37,4.66,113.68,
200,43.22,5.54,4.51,113.21,
225,48.77,5.56,4.5,113.92,
250,54.46,5.69,4.39,113.21,
275,01:00.2,5.74,4.35,112.99,
300,01:06.0,5.75,4.35,113.42,
325,01:11.7,5.76,4.34,113.85,
350,01:17.4,5.73,4.36,114.94,
375,01:23.1,5.69,4.39,117.88,
400,01:28.9,5.77,4.33,117.42,
425,01:34.6,5.72,4.37,119.28,
450,01:40.6,5.95,4.2,116.81,
475,01:46.6,5.98,4.18,116.05,
500,01:52.7,6.12,4.08,114.58,
Av,,5.63,4.46,118.43,
