Race,,Dist,500,Time,01:33.3
Split,Time,Secs,Vel,SR,
25,6.78,6.78,3.69,126.62,
50,10.97,4.19,5.97,144.77,
75,15.04,4.07,6.14,144,
100,19.18,4.14,6.04,137.14,
125,23.4,4.22,5.92,132.03,
150,27.73,4.33,5.78,131.15,
175,32.17,4.44,5.63,129.19,
200,36.65,4.48,5.58,129.38,
225,41.2,4.54,5.5,127.36,
250,45.8,4.6,5.43,127.06,
275,50.4,4.6,5.44,126.32,
300,55.09,4.69,5.33,127.36,
325,59.79,4.7,5.32,127.96,
350,01:04.5,4.74,5.28,127.39,
375,01:09.3,4.73,5.29,127.66,
400,01:14.0,4.75,5.27,128.88,
425,01:18.8,4.78,5.23,128.57,
450,01:23.6,4.8,5.21,127.66,
475,01:28.4,4.87,5.13,126.58,
500,01:33.4,4.9,5.1,126.17,
Av,,4.67,5.41,130.16,
