Race,,Dist,1000m,Time,03:53.5
Split,Time,Secs,Vel,SR,
25,6.88,6.88,3.63,119.45,
50,11.66,4.77,5.24,125,
75,16.57,4.91,5.09,115.11,
100,21.63,5.07,4.93,112.27,
125,26.82,5.18,4.83,105.96,
150,32.05,5.24,4.77,100,
175,37.44,5.38,4.64,98.13,
200,42.97,5.53,4.52,95.81,
225,48.58,5.61,4.46,94.86,
250,54.24,5.66,4.42,93.93,
275,01:00.0,5.78,4.33,95.05,
300,01:05.9,5.85,4.27,91.95,
325,01:11.7,5.8,4.31,91.95,
350,01:17.5,5.83,4.28,90.23,
375,01:23.4,5.85,4.27,91.6,
400,01:29.2,5.88,4.25,89.05,
425,01:35.2,5.93,4.22,90.91,
450,01:41.0,5.88,4.25,87.91,
475,01:47.0,5.96,4.19,89.39,
500,01:52.9,5.93,4.22,89.72,
525,01:58.9,5.96,4.19,89.22,
550,02:04.9,6.03,4.15,89.39,
575,02:10.9,6.01,4.16,87.75,
600,02:16.9,5.99,4.18,88.24,
625,02:22.9,5.99,4.17,86.96,
650,02:29.0,6.05,4.13,87.59,
675,02:35.0,6.02,4.15,87.43,
700,02:41.1,6.1,4.1,86.78,
725,02:47.2,6.13,4.08,87.91,
750,02:53.5,6.24,4,87.66,
775,02:59.7,6.2,4.03,87.5,
800,03:05.7,6.09,4.1,89.85,
825,03:11.6,5.87,4.26,89.36,
850,03:17.4,5.79,4.32,88.24,
875,03:23.3,5.85,4.28,90.06,
900,03:29.1,5.82,4.3,89.94,
925,03:35.1,6,4.17,89.89,
950,03:41.2,6.09,4.11,90.57,
975,03:47.2,6.07,4.12,90.76,
1000,03:53.5,6.28,3.99,90.23,
Av,,5.84,4.3,93.59,
