Race,,Dist,500m,Time,01:47.7
Split,Time,Secs,Vel,SR,
25,6.62,6.62,3.78,128,
50,11.21,4.59,5.44,140,
75,15.87,4.66,5.37,130,
100,20.65,4.77,5.24,122,
125,25.54,4.89,5.11,117,
150,30.54,5.00,5,111,
175,35.67,5.12,4.88,105,
200,40.87,5.20,4.81,102,
225,46.32,5.46,4.58,102,
250,51.78,5.45,4.59,104,
275,57.21,5.44,4.6,102,
300,01:02.6,5.39,4.64,103,
325,01:08.0,5.41,4.62,103,
350,01:13.5,5.47,4.57,100,
375,01:19.0,5.54,4.51,100,
400,01:24.6,5.55,4.5,101,
425,01:30.2,5.63,4.44,99,
450,01:36.0,5.74,4.36,96,
475,01:41.8,5.82,4.3,94,
500,01:47.7,5.96,4.19,95,
Av,,5.39,4.67,108,
,,,,,
