Race,,Dist,1000,Time,227.66
Split,Time,Secs,Vel,SR,
25,6.65,6.65,3.76,125.4,
50,11.2,4.54,5.5,141.84,
75,15.81,4.61,5.42,133.66,
100,20.54,4.74,5.28,129.59,
125,25.37,4.83,5.18,125.87,
150,30.32,4.95,5.05,122.45,
175,35.33,5.01,4.99,121.35,
200,40.48,5.15,4.85,118.94,
225,45.74,5.26,4.76,116.38,
250,51.15,5.41,4.62,114.07,
275,56.51,5.37,4.66,112.03,
300,61.97,5.46,4.58,111.11,
325,67.54,5.58,4.48,108.43,
350,73.16,5.61,4.45,105.88,
375,78.83,5.68,4.4,107.14,
400,84.54,5.71,4.38,105.06,
425,90.38,5.84,4.28,105.06,
450,96.41,6.02,4.15,103.99,
475,102.23,5.83,4.29,104.65,
500,108.16,5.93,4.22,103.85,
525,114.12,5.96,4.2,102.86,
550,120.07,5.95,4.2,102.47,
575,125.92,5.84,4.28,102.66,
600,131.94,6.02,4.15,102.47,
625,138.03,6.09,4.11,100.33,
650,144.11,6.08,4.11,99.63,
675,150.2,6.09,4.11,100,
700,156.32,6.13,4.08,100.75,
725,162.44,6.12,4.09,101.01,
750,168.53,6.09,4.11,100.75,
775,174.54,6.01,4.16,100.37,
800,180.58,6.04,4.14,102.08,
825,186.44,5.86,4.27,102.47,
850,192.21,5.77,4.33,102.47,
875,198.01,5.8,4.31,102.47,
900,203.79,5.78,4.32,101.48,
925,209.78,5.99,4.17,102.04,
950,215.77,5.99,4.17,103.25,
975,221.65,5.88,4.25,103.45,
1000,227.66,6.01,4.16,104.65,
Av,,5.69,4.43,108.86,
