Race,,Dist,500,Time,104.13
Split,Time,Secs,Vel,SR,
25,6.71,6.71,3.72,128.83,
50,11.19,4.48,5.58,145.95,
75,15.68,4.49,5.56,137.93,
100,20.36,4.68,5.35,129.5,
125,25.11,4.76,5.26,127.36,
150,29.88,4.76,5.25,124.14,
175,34.84,4.96,5.04,120.81,
200,39.98,5.14,4.86,117.39,
225,45.21,5.23,4.78,116.63,
250,50.48,5.27,4.74,115.14,
275,55.76,5.28,4.74,113.92,
300,61.11,5.35,4.67,113.92,
325,66.49,5.37,4.65,113.92,
350,71.81,5.33,4.69,114.16,
375,77.05,5.24,4.77,112.27,
400,82.35,5.3,4.72,113.68,
425,87.72,5.38,4.65,113.68,
450,93.08,5.36,4.67,113.92,
475,98.58,5.5,4.54,112.78,
500,104.13,5.55,4.51,115.63,
Av,,5.21,4.84,120.08,
