Race,,Dist,1000m,Time,03:44.7
Split,Time,Secs,Vel,SR,
25,6.71,6.71,3.73,118.36,
50,11.4,4.69,5.33,119.11,
75,16.17,4.77,5.24,112.15,
100,21.05,4.88,5.12,107.38,
125,26.06,5.01,4.99,101.69,
150,31.22,5.16,4.85,100.63,
175,36.45,5.22,4.79,97.22,
200,41.73,5.28,4.73,95.02,
225,47.09,5.36,4.67,93.2,
250,52.51,5.43,4.61,94.59,
275,58.03,5.52,4.53,92.13,
300,01:03.6,5.57,4.49,93.13,
325,01:09.3,5.64,4.43,92.13,
350,01:15.0,5.72,4.37,91.95,
375,01:20.7,5.76,4.34,98.97,
400,01:26.5,5.73,4.36,92.31,
425,01:32.1,5.66,4.41,88.98,
450,01:37.8,5.71,4.38,87.91,
475,01:43.6,5.73,4.36,88.79,
500,01:49.3,5.76,4.34,89.05,
525,01:55.2,5.85,4.27,89.05,
550,02:01.0,5.79,4.32,86.96,
575,02:06.8,5.8,4.31,85.71,
600,02:12.6,5.8,4.31,85.56,
625,02:18.4,5.83,4.29,85.54,
650,02:24.3,5.89,4.24,88.05,
675,02:30.1,5.85,4.28,87.27,
700,02:36.0,5.87,4.26,87.27,
725,02:41.8,5.75,4.34,86.96,
750,02:47.5,5.74,4.36,86.24,
775,02:53.3,5.76,4.34,86.42,
800,02:59.0,5.76,4.34,86.8,
825,03:04.8,5.73,4.36,85.71,
850,03:10.5,5.74,4.35,86.07,
875,03:16.2,5.73,4.37,88.72,
900,03:21.8,5.62,4.45,89.17,
925,03:27.5,5.71,4.38,89.74,
950,03:33.2,5.62,4.45,91.08,
975,03:38.9,5.69,4.39,91.08,
1000,03:44.7,5.84,4.29,91.3,
Av,,5.62,4.47,92.74,
