Race,,Dist,1000m,Time,03:42.5
Split,Time,Secs,Vel,SR,
25,6.41,6.41,3.9,127.66,
50,10.87,4.46,5.61,137.4,
75,15.44,4.57,5.47,131.39,
100,20.19,4.75,5.27,123.29,
125,25.14,4.95,5.05,117.9,
150,30.24,5.1,4.9,113.21,
175,35.38,5.13,4.87,111.34,
200,40.66,5.28,4.73,109.98,
225,45.93,5.28,4.74,108.6,
250,51.22,5.29,4.72,106.93,
275,56.61,5.38,4.64,107.62,
300,01:02.1,5.44,4.6,105.47,
325,01:07.6,5.55,4.51,103.67,
350,01:13.1,5.55,4.5,104.05,
375,01:18.8,5.66,4.41,103.05,
400,01:24.5,5.71,4.38,102.13,
425,01:30.3,5.82,4.29,101.12,
450,01:36.1,5.72,4.37,100.37,
475,01:41.9,5.82,4.3,100,
500,01:47.6,5.72,4.37,98.77,
525,01:53.4,5.79,4.31,100.19,
550,01:59.2,5.76,4.34,98.36,
575,02:04.9,5.75,4.35,99.26,
600,02:10.8,5.9,4.24,99.45,
625,02:16.8,5.94,4.21,98.56,
650,02:22.6,5.86,4.27,100,
675,02:28.5,5.87,4.26,99.08,
700,02:34.3,5.82,4.3,98.56,
725,02:40.1,5.77,4.34,98.9,
750,02:45.9,5.8,4.31,100,
775,02:51.9,6.05,4.13,100.84,
800,02:57.8,5.91,4.23,101.89,
825,03:03.4,5.61,4.46,103.67,
850,03:08.9,5.48,4.56,107.14,
875,03:14.4,5.49,4.55,106.09,
900,03:19.9,5.55,4.51,106.51,
925,03:25.5,5.6,4.46,103,
950,03:31.2,5.63,4.44,104.65,
975,03:36.9,5.68,4.4,106.09,
1000,03:42.5,5.69,4.4,107.57,
Av,,5.56,4.52,106.34,
