Race,,Dist,500,Time,104.58
Split,Time,Secs,Vel,SR,
25,6.66,6.66,3.75,129.35,
50,11.27,4.61,5.42,137.06,
75,16.01,4.74,5.28,128.27,
100,20.82,4.81,5.19,125.29,
125,25.7,4.88,5.13,123.01,
150,30.71,5,5,120.54,
175,35.78,5.07,4.93,117.65,
200,40.96,5.18,4.82,115.63,
225,46.22,5.27,4.75,113.92,
250,51.55,5.33,4.69,115.16,
275,56.9,5.35,4.68,114.41,
300,62.24,5.35,4.68,112.97,
325,67.53,5.28,4.73,113.21,
350,72.78,5.26,4.76,114.41,
375,78,5.21,4.8,116.63,
400,83.17,5.17,4.84,118.42,
425,88.4,5.23,4.78,117.9,
450,93.76,5.36,4.67,116.96,
475,99.11,5.35,4.67,119.47,
500,104.57,5.47,4.58,119.52,
Av,,5.23,4.81,119.49,
