Race,,Dist,500,Time,101.34
Split,Time,Secs,Vel,SR,
25,6.58,6.58,3.8,131.46,
50,10.96,4.38,5.7,144.77,
75,15.12,4.16,6.01,143.62,
100,19.58,4.46,5.61,134.66,
125,23.86,4.29,5.83,127.43,
150,28.43,4.56,5.48,121.74,
175,33.41,4.98,5.02,120.69,
200,38.47,5.07,4.93,116.13,
225,43.52,5.04,4.96,113.74,
250,48.48,4.96,5.04,113.45,
275,53.55,5.07,4.93,112.5,
300,58.57,5.02,4.98,115.38,
325,63.9,5.34,4.69,113.21,
350,69.21,5.3,4.71,112.97,
375,74.46,5.25,4.76,111.11,
400,79.75,5.28,4.73,112.97,
425,84.91,5.17,4.84,111.73,
450,90.13,5.22,4.79,111.11,
475,95.71,5.58,4.48,111.57,
500,101.33,5.63,4.45,112.03,
Av,,5.07,4.99,119.61,
