Race,,Dist,500,Time,106.63
Split,Time,Secs,Vel,SR,
25,6.66,6.66,3.75,126.51,
50,11.29,4.63,5.4,138.46,
75,15.91,4.62,5.41,133.63,
100,20.53,4.63,5.4,132.35,
125,25.32,4.78,5.23,126.46,
150,30.34,5.02,4.98,125.29,
175,35.43,5.1,4.91,121.9,
200,40.54,5.1,4.9,117.65,
225,45.8,5.26,4.75,116.96,
250,51.19,5.39,4.64,115.14,
275,56.73,5.55,4.51,113.85,
300,62.15,5.42,4.61,114.16,
325,67.55,5.4,4.63,114.16,
350,72.96,5.41,4.62,114.89,
375,78.54,5.57,4.49,114.5,
400,84.07,5.53,4.52,114.07,
425,89.7,5.63,4.44,113.45,
450,95.22,5.52,4.53,115.38,
475,100.77,5.55,4.5,113.92,
500,106.62,5.85,4.27,117.19,
Av,,5.33,4.72,120,
