Race,,Dist,500,Time,98.57
Split,Time,Secs,Vel,SR,
25,7.02,7.02,3.56,125.94,
50,11.32,4.3,5.82,145.63,
75,15.57,4.25,5.88,142.48,
100,19.77,4.21,5.95,143.62,
125,24.1,4.32,5.79,138.11,
150,28.57,4.48,5.59,134,
175,33.22,4.65,5.38,127.66,
200,37.99,4.77,5.24,125.29,
225,42.84,4.85,5.15,120.6,
250,47.76,4.92,5.08,118.16,
275,52.74,4.99,5.01,116.38,
300,57.82,5.07,4.93,113.74,
325,62.87,5.06,4.95,112.27,
350,68.06,5.18,4.82,111.63,
375,73.12,5.06,4.94,110.43,
400,78.23,5.11,4.89,111.89,
425,83.23,5,5,116.38,
450,88.23,5,5,115.38,
475,93.28,5.05,4.95,115.66,
500,98.57,5.29,4.72,113.92,
Av,,4.93,5.13,122.96,
