Race,,Dist,1000,Time,03:52.0
Split,Time,Secs,Vel,SR,
25,6.93,6.93,3.61,126.7,
50,11.8,4.86,5.14,133.63,
75,16.52,4.72,5.29,125,
100,21.46,4.95,5.05,118.94,
125,26.68,5.22,4.79,115.88,
150,31.97,5.29,4.73,116.13,
175,37.22,5.25,4.76,108,
200,42.76,5.54,4.51,112.03,
225,48.31,5.55,4.5,108.65,
250,53.96,5.65,4.43,110.2,
275,59.74,5.79,4.32,109.49,
300,01:05.3,5.6,4.46,109.53,
325,01:10.9,5.58,4.48,107.14,
350,01:16.7,5.74,4.35,107.57,
375,01:22.5,5.83,4.28,107.33,
400,01:28.4,5.85,4.27,106.93,
425,01:34.4,6.05,4.13,104.9,
450,01:40.4,6.03,4.15,102.47,
475,01:46.4,5.92,4.23,103.85,
500,01:52.1,5.8,4.31,103.25,
525,01:58.1,5.95,4.2,106.95,
550,02:04.0,5.88,4.25,106.51,
575,02:09.6,5.68,4.4,105.06,
600,02:15.8,6.1,4.1,106.76,
625,02:21.7,5.98,4.18,106.95,
650,02:27.6,5.85,4.27,104.25,
675,02:33.7,6.08,4.11,101.12,
700,02:40.0,6.37,3.93,101.87,
725,02:46.3,6.3,3.97,102.08,
750,02:52.1,5.8,4.31,100.19,
775,02:58.3,6.15,4.06,104.9,
800,03:04.1,5.84,4.28,107.14,
825,03:10.1,6.01,4.16,108.11,
850,03:16.1,5.99,4.18,106.38,
875,03:22.0,5.92,4.22,105.68,
900,03:28.0,5.92,4.22,106.19,
925,03:34.0,6.04,4.14,104.85,
950,03:40.1,6.14,4.07,106.95,
975,03:45.9,5.7,4.39,104.65,
1000,03:52.0,6.2,4.03,106.01,
Av,,5.8,4.33,108.51,
