Race,,Dist,1000,Time,232.05
Split,Time,Secs,Vel,SR,
25,6.93,6.93,3.61,126.7,
50,11.8,4.86,5.14,133.63,
75,16.52,4.72,5.29,125,
100,21.46,4.95,5.05,118.94,
125,26.68,5.22,4.79,115.88,
150,31.97,5.29,4.73,116.13,
175,37.22,5.25,4.76,108,
200,42.76,5.54,4.51,112.03,
225,48.31,5.55,4.5,108.65,
250,53.96,5.65,4.43,110.2,
275,59.74,5.79,4.32,109.49,
300,65.35,5.6,4.46,109.53,
325,70.93,5.58,4.48,107.14,
350,76.67,5.74,4.35,107.57,
375,82.51,5.83,4.28,107.33,
400,88.36,5.85,4.27,106.93,
425,94.41,6.05,4.13,104.9,
450,100.43,6.03,4.15,102.47,
475,106.35,5.92,4.23,103.85,
500,112.15,5.8,4.31,103.25,
525,118.09,5.95,4.2,106.95,
550,123.97,5.88,4.25,106.51,
575,129.65,5.68,4.4,105.06,
600,135.75,6.1,4.1,106.76,
625,141.73,5.98,4.18,106.95,
650,147.58,5.85,4.27,104.25,
675,153.66,6.08,4.11,101.12,
700,160.03,6.37,3.93,101.87,
725,166.33,6.3,3.97,102.08,
750,172.13,5.8,4.31,100.19,
775,178.29,6.15,4.06,104.9,
800,184.13,5.84,4.28,107.14,
825,190.13,6.01,4.16,108.11,
850,196.12,5.99,4.18,106.38,
875,202.04,5.92,4.22,105.68,
900,207.97,5.92,4.22,106.19,
925,214.01,6.04,4.14,104.85,
950,220.14,6.14,4.07,106.95,
975,225.85,5.7,4.39,104.65,
1000,232.05,6.2,4.03,106.01,
Av,,5.8,4.33,108.51,
