Race,,Dist,1000m,Time,03:37.8
Split,Time,Secs,Vel,SR,
25,6.79,6.79,3.68,125.2,
50,11.32,4.53,5.52,132.03,
75,15.82,4.5,5.56,125.58,
100,20.43,4.61,5.42,121.83,
125,25.23,4.79,5.21,118.42,
150,30.17,4.94,5.06,116.22,
175,35.28,5.11,4.89,115.63,
200,40.44,5.16,4.84,114.89,
225,45.61,5.17,4.84,113.45,
250,50.85,5.24,4.77,112.97,
275,56.12,5.27,4.75,112.94,
300,01:01.6,5.45,4.59,109.53,
325,01:07.1,5.53,4.52,109.89,
350,01:12.6,5.45,4.58,109.53,
375,01:18.0,5.45,4.58,109.76,
400,01:23.6,5.57,4.49,109.09,
425,01:29.2,5.64,4.44,109.31,
450,01:34.8,5.62,4.45,110.43,
475,01:40.5,5.65,4.43,108.65,
500,01:46.2,5.67,4.41,107.91,
525,01:51.8,5.66,4.41,107.78,
550,01:57.5,5.69,4.39,105.47,
575,02:03.1,5.64,4.43,105.47,
600,02:08.9,5.72,4.37,107.78,
625,02:14.6,5.69,4.39,104.45,
650,02:20.3,5.71,4.38,104.65,
675,02:26.0,5.71,4.38,106.09,
700,02:31.5,5.52,4.53,107.57,
725,02:36.7,5.21,4.79,116.38,
750,02:41.9,5.18,4.83,116.63,
775,02:47.3,5.43,4.6,115.61,
800,02:52.8,5.52,4.53,114.16,
825,02:58.4,5.58,4.48,111.94,
850,03:04.1,5.68,4.4,110.43,
875,03:09.8,5.71,4.38,109.69,
900,03:15.4,5.59,4.47,108.22,
925,03:21.1,5.67,4.41,108,
950,03:26.7,5.59,4.47,109.53,
975,03:32.3,5.63,4.44,108.65,
1000,03:37.8,5.53,4.53,109.31,
Av,,5.45,4.62,112.03,
