Race,,Dist,1000,Time,03:30.6
Split,Time,Secs,Vel,SR,
25,6.29,6.29,3.97,130,
50,10.65,4.36,5.73,134.08,
75,15.1,4.45,5.62,126.76,
100,19.75,4.66,5.37,119.11,
125,24.53,4.78,5.23,115.94,
150,29.46,4.93,5.07,112.03,
175,34.5,5.04,4.96,109.09,
200,39.57,5.06,4.94,107.14,
225,44.69,5.12,4.88,107.62,
250,49.81,5.13,4.87,105.73,
275,55.02,5.21,4.8,105.03,
300,01:00.3,5.27,4.75,104.58,
325,01:05.6,5.29,4.73,104.85,
350,01:10.9,5.29,4.72,103.67,
375,01:16.2,5.33,4.69,104.58,
400,01:21.5,5.34,4.68,104.58,
425,01:26.9,5.35,4.67,103.65,
450,01:32.3,5.4,4.63,103,
475,01:37.7,5.42,4.61,103.9,
500,01:43.2,5.45,4.59,103.25,
525,01:48.6,5.4,4.63,103.67,
550,01:54.0,5.4,4.63,103.9,
575,01:59.4,5.44,4.6,104.25,
600,02:04.8,5.38,4.65,105.96,
625,02:10.1,5.37,4.65,106.51,
650,02:15.4,5.26,4.76,106.67,
675,02:20.8,5.34,4.68,105.73,
700,02:26.1,5.36,4.67,106.51,
725,02:31.5,5.35,4.67,108.22,
750,02:36.7,5.29,4.73,110.34,
775,02:42.0,5.25,4.76,110.88,
800,02:47.3,5.29,4.73,110.2,
825,02:52.5,5.26,4.75,111.8,
850,02:57.9,5.32,4.7,111.11,
875,03:03.2,5.35,4.68,112.27,
900,03:08.7,5.46,4.58,111.32,
925,03:14.1,5.4,4.63,111.8,
950,03:19.6,5.5,4.55,111.34,
975,03:25.1,5.5,4.55,112.5,
1000,03:30.6,5.57,4.49,112.5,
Av,,5.27,4.77,109.65,
