Race,,Dist,500,Time,124.73
Split,Time,Secs,Vel,SR,
25,7.69,7.69,3.25,105.88,
50,13.18,5.5,4.55,106.93,
75,18.86,5.68,4.4,101.5,
100,24.65,5.79,4.32,99.17,
125,30.57,5.92,4.22,97.47,
150,36.48,5.92,4.22,94.49,
175,42.64,6.15,4.06,94.24,
200,48.78,6.15,4.07,93.75,
225,55.18,6.4,3.91,91.78,
250,61.46,6.28,3.98,91.06,
275,67.72,6.26,3.99,90.23,
300,74.06,6.34,3.94,89.4,
325,80.35,6.29,3.98,89.55,
350,86.64,6.29,3.98,88.72,
375,92.98,6.34,3.94,88.52,
400,99.29,6.31,3.96,89.05,
425,105.47,6.18,4.05,88.56,
450,111.95,6.49,3.85,88.52,
475,118.28,6.32,3.95,86.96,
500,124.73,6.45,3.88,87.91,
Av,,6.24,4.03,93.19,
