Race,,Dist,500m,Time,02:02.9
Split,Time,Secs,Vel,SR,
25,7.85,7.85,3.19,120,
50,13.38,5.54,4.52,132,
75,18.98,5.60,4.46,126,
100,24.71,5.72,4.37,121,
125,30.57,5.86,4.26,117,
150,36.46,5.88,4.25,114,
175,42.40,5.94,4.21,113,
200,48.45,6.05,4.13,111,
225,54.55,6.09,4.1,109,
250,01:00.7,6.13,4.08,109,
275,01:06.8,6.16,4.06,108,
300,01:13.1,6.25,4,109,
325,01:19.3,6.17,4.05,110,
350,01:25.5,6.21,4.02,112,
375,01:31.7,6.25,4,108,
400,01:37.9,6.18,4.05,109,
425,01:44.2,6.25,4,108,
450,01:50.4,6.25,4,108,
475,01:56.7,6.25,4,109,
500,02:02.9,6.25,4,109,
Av,,6.15,4.09,113,
,,,,,
