Race,,Dist,500,Time,120.43
Split,Time,Secs,Vel,SR,
25,7.67,7.67,3.26,122.99,
50,13.09,5.42,4.61,125.71,
75,18.61,5.52,4.53,119.05,
100,24.29,5.68,4.41,114.72,
125,30.01,5.72,4.37,112.73,
150,35.9,5.89,4.24,110.7,
175,41.84,5.94,4.21,110.09,
200,47.75,5.92,4.23,108.89,
225,53.76,6.01,4.16,108.89,
250,59.7,5.94,4.21,107.78,
275,65.65,5.95,4.2,108.11,
300,71.71,6.06,4.12,107.14,
325,77.73,6.02,4.15,107.14,
350,83.7,5.97,4.19,105.88,
375,89.75,6.05,4.13,107.72,
400,95.83,6.08,4.11,106.19,
425,102.01,6.18,4.04,104.53,
450,108.22,6.21,4.03,105.47,
475,114.35,6.13,4.08,104.17,
500,120.42,6.07,4.12,104.35,
Av,,6.02,4.17,110.11,
