Race,,Dist,500m,Time,01:52.6
Split,Time,Secs,Vel,SR,
25,7.40,7.40,3.38,118,
50,12.34,4.95,5.05,133,
75,17.28,4.93,5.07,132,
100,22.25,4.97,5.03,128,
125,27.37,5.11,4.89,122,
150,32.67,5.31,4.71,120,
175,38.10,5.43,4.61,117,
200,43.60,5.50,4.55,116,
225,49.17,5.57,4.49,115,
250,54.75,5.58,4.48,114,
275,01:00.3,5.56,4.49,114,
300,01:05.9,5.57,4.49,113,
325,01:11.5,5.65,4.42,112,
350,01:17.3,5.80,4.31,111,
375,01:23.2,5.90,4.24,111,
400,01:29.0,5.74,4.35,110,
425,01:34.6,5.59,4.48,108,
450,01:40.3,5.76,4.34,108,
475,01:46.4,6.11,4.09,107,
500,01:52.6,6.13,4.08,106,
Av,,5.63,4.48,116,
