Race,,Dist,500m,Time,02:00.3
Split,Time,Secs,Vel,SR,
25,7.71,7.71,3.24,124,
50,13.21,5.50,4.55,128,
75,18.75,5.54,4.51,126,
100,24.36,5.61,4.46,123,
125,30.06,5.70,4.38,121,
150,35.89,5.83,4.29,117,
175,41.73,5.84,4.28,116,
200,47.71,5.98,4.18,115,
225,53.60,5.89,4.24,114,
250,59.51,5.91,4.23,114,
275,01:05.5,5.99,4.18,114,
300,01:11.5,6.04,4.14,113,
325,01:17.6,6.10,4.1,112,
350,01:23.7,6.07,4.12,114,
375,01:29.9,6.17,4.05,111,
400,01:35.9,5.96,4.19,109,
425,01:41.9,6.07,4.12,110,
450,01:48.0,6.12,4.09,109,
475,01:54.1,6.11,4.09,109,
500,02:00.3,6.13,4.08,112,
Av,,6.01,4.18,116,
