Race,,Dist,500m,Time,01:59.3
Split,Time,Secs,Vel,SR,
25,7.58,7.58,3.3,124,
50,13.02,5.45,4.59,131,
75,18.48,5.45,4.58,127,
100,24.03,5.55,4.5,122,
125,29.65,5.62,4.45,120,
150,35.34,5.69,4.39,118,
175,41.12,5.78,4.33,117,
200,46.91,5.79,4.31,115,
225,52.76,5.85,4.28,114,
250,58.76,6.00,4.17,112,
275,01:04.8,6.04,4.14,113,
300,01:10.9,6.08,4.11,113,
325,01:17.0,6.11,4.09,113,
350,01:23.1,6.09,4.11,113,
375,01:29.1,5.97,4.18,112,
400,01:35.0,5.91,4.23,112,
425,01:40.9,5.98,4.18,113,
450,01:47.1,6.12,4.08,111,
475,01:53.1,6.08,4.11,111,
500,01:59.3,6.14,4.07,111,
Av,,5.96,4.21,116,
