Race,,Dist,500,Time,120.2
Split,Time,Secs,Vel,SR,
25,7.57,7.57,3.3,128.76,
50,12.95,5.39,4.64,138.73,
75,18.38,5.42,4.61,132.8,
100,23.94,5.57,4.49,128.91,
125,29.61,5.66,4.41,124.22,
150,35.4,5.79,4.32,121.32,
175,41.23,5.83,4.29,120.66,
200,47.18,5.95,4.2,117.65,
225,53.09,5.91,4.23,116.5,
250,59,5.92,4.23,118.28,
275,65.06,6.06,4.13,114.5,
300,71.15,6.09,4.11,113.99,
325,77.19,6.04,4.14,114.29,
350,83.33,6.15,4.07,114.38,
375,89.44,6.1,4.1,114.58,
400,95.51,6.07,4.12,114.29,
425,101.61,6.1,4.1,115.18,
450,107.79,6.18,4.04,116.4,
475,113.95,6.16,4.06,114.58,
500,120.2,6.25,4,116.81,
Av,,6.01,4.18,119.84,
