Race,,Dist,500,Time,01:50.7
Split,Time,Secs,Vel,SR,
25,6.86,6.86,3.64,132.94,
50,11.67,4.81,5.2,141.84,
75,16.59,4.92,5.08,136.67,
100,21.72,5.13,4.88,127.66,
125,27.02,5.3,4.72,120.97,
150,32.51,5.49,4.55,118.11,
175,38,5.5,4.55,114.65,
200,43.49,5.48,4.56,114.29,
225,49,5.51,4.53,112.97,
250,54.67,5.67,4.41,112.57,
275,01:00.4,5.69,4.39,111.11,
300,01:06.0,5.61,4.45,113.42,
325,01:11.6,5.6,4.47,114.07,
350,01:17.1,5.53,4.52,114.16,
375,01:22.6,5.48,4.56,117.19,
400,01:28.2,5.58,4.48,117.42,
425,01:33.8,5.6,4.46,119.76,
450,01:39.3,5.56,4.49,124.22,
475,01:44.9,5.57,4.49,124.06,
500,01:50.7,5.78,4.33,122,
Av,,5.53,4.54,120.5,
