Race,,Dist,500m,Time,01:53.8
Split,Time,Secs,Vel,SR,
25,6.89,6.89,3.63,135,
50,11.74,4.85,5.16,141,
75,16.67,4.94,5.07,138,
100,21.77,5.10,4.9,133,
125,27.00,5.23,4.78,126,
150,32.41,5.41,4.62,116,
175,37.97,5.56,4.5,114,
200,43.55,5.58,4.48,114,
225,49.20,5.65,4.42,113,
250,54.92,5.72,4.37,112,
275,01:00.6,5.71,4.37,114,
300,01:06.4,5.73,4.36,114,
325,01:12.1,5.75,4.35,117,
350,01:17.9,5.74,4.36,116,
375,01:23.7,5.82,4.29,115,
400,01:29.5,5.84,4.28,115,
425,01:35.4,5.91,4.23,113,
450,01:41.4,6.02,4.16,112,
475,01:47.6,6.12,4.09,111,
500,01:53.8,6.26,3.99,107,
Av,,5.69,4.42,119,
,,,,,
