Race,,Dist,500,Time,112.8
Split,Time,Secs,Vel,SR,
25,6.76,6.76,3.7,131.31,
50,11.54,4.77,5.24,135.68,
75,16.45,4.92,5.08,132.45,
100,21.53,5.08,4.92,122.45,
125,26.76,5.23,4.78,117.14,
150,32.08,5.32,4.7,111.34,
175,37.53,5.45,4.59,108,
200,43.02,5.49,4.55,108.6,
225,48.53,5.51,4.54,109.29,
250,54.11,5.59,4.48,106.19,
275,59.77,5.66,4.42,102.66,
300,65.53,5.75,4.34,103.45,
325,71.26,5.73,4.36,104.25,
350,77.06,5.81,4.3,104.05,
375,82.91,5.85,4.28,101.69,
400,88.76,5.85,4.28,101.5,
425,94.65,5.89,4.24,100,
450,100.62,5.97,4.19,99.38,
475,106.64,6.03,4.15,96.6,
500,112.8,6.15,4.06,95.24,
Av,,5.64,4.46,109.56,
