Race,,Dist,500,Time,115.86
Split,Time,Secs,Vel,SR,
25,6.84,6.84,3.66,125.19,
50,11.6,4.76,5.26,137.3,
75,16.37,4.77,5.24,132.68,
100,21.32,4.95,5.05,127.39,
125,26.39,5.07,4.93,123.85,
150,31.59,5.2,4.8,119.76,
175,36.89,5.3,4.72,115.88,
200,42.31,5.42,4.62,115.14,
225,47.85,5.55,4.51,112.36,
250,53.48,5.63,4.44,108.22,
275,59.31,5.84,4.28,100,
300,65.27,5.95,4.2,97.17,
325,71.38,6.12,4.09,95.74,
350,77.46,6.08,4.11,95.41,
375,83.63,6.17,4.05,93.02,
400,89.95,6.31,3.96,91.22,
425,96.31,6.36,3.93,88.72,
450,102.78,6.47,3.86,89.85,
475,109.27,6.49,3.85,88.56,
500,115.86,6.59,3.8,85.44,
Av,,5.79,4.37,107.14,
