Race,,Dist,500m,Time,01:53.4
Split,Time,Secs,Vel,SR,
25,6.80,6.80,3.68,125,
50,11.65,4.86,5.15,133,
75,16.69,5.03,4.97,128,
100,21.90,5.21,4.79,123,
125,27.20,5.30,4.72,119,
150,32.59,5.39,4.64,115,
175,38.05,5.46,4.58,114,
200,43.60,5.55,4.5,114,
225,49.18,5.58,4.48,113,
250,54.83,5.65,4.43,114,
275,01:00.4,5.62,4.45,114,
300,01:06.1,5.65,4.42,114,
325,01:11.9,5.78,4.33,114,
350,01:17.7,5.83,4.29,113,
375,01:23.6,5.86,4.26,110,
400,01:29.5,5.95,4.2,109,
425,01:35.4,5.88,4.25,108,
450,01:41.3,5.91,4.23,109,
475,01:47.2,5.92,4.22,107,
500,01:53.4,6.12,4.08,103,
Av,,5.67,4.43,115,
