Race,,Dist,500,Time,113.07
Split,Time,Secs,Vel,SR,
25,6.89,6.89,3.63,123.17,
50,11.81,4.92,5.08,133.04,
75,16.8,4.98,5.02,126.17,
100,21.97,5.17,4.83,121.95,
125,27.25,5.28,4.73,117.65,
150,32.77,5.52,4.53,110.2,
175,38.41,5.63,4.44,110.29,
200,44.12,5.71,4.38,109.09,
225,49.8,5.68,4.4,108.43,
250,55.54,5.74,4.36,108.7,
275,61.28,5.74,4.35,106.93,
300,67.01,5.73,4.36,109.76,
325,72.76,5.75,4.35,108.7,
350,78.47,5.72,4.37,109.76,
375,84.2,5.73,4.36,111.94,
400,89.96,5.76,4.34,112.15,
425,95.7,5.74,4.36,114.5,
450,101.4,5.7,4.39,113.21,
475,107.17,5.77,4.33,113.42,
500,113.07,5.9,4.24,112.57,
Av,,5.65,4.44,114.08,
