Race,,Dist,500,Time,111.07
Split,Time,Secs,Vel,SR,
25,6.72,6.72,3.72,117.82,
50,11.59,4.87,5.14,132.03,
75,16.48,4.89,5.11,127.39,
100,21.53,5.05,4.95,121.9,
125,26.74,5.21,4.8,115.88,
150,32.03,5.29,4.72,113.68,
175,37.38,5.35,4.68,114.16,
200,42.77,5.4,4.63,112.5,
225,48.25,5.48,4.56,112.78,
250,53.8,5.55,4.51,111.57,
275,59.35,5.55,4.5,109.53,
300,64.99,5.64,4.43,108.87,
325,70.7,5.72,4.37,107.33,
350,76.4,5.7,4.39,108,
375,82.1,5.7,4.39,108.43,
400,87.81,5.71,4.38,108.7,
425,93.54,5.73,4.37,109.76,
450,99.23,5.69,4.39,110.2,
475,105.07,5.84,4.280821918,108.5,
500,111.05,5.98,4.180602007,106.01,
Av,,5.55,4.53,113.25,
