Race,,Dist,500,Time,01:45.1
Split,Time,Secs,Vel,SR,
25,6.98,6.98,3.58,136.78,
50,11.63,4.65,5.38,146.7,
75,16.33,4.7,5.32,141.84,
100,21.07,4.74,5.28,139.86,
125,25.87,4.8,5.2,133.93,
150,30.84,4.97,5.03,132.45,
175,35.96,5.12,4.89,127.93,
200,41.2,5.24,4.77,126.85,
225,46.48,5.29,4.73,123.46,
250,51.79,5.3,4.71,123.97,
275,57.07,5.28,4.73,123.2,
300,01:02.5,5.39,4.64,123.46,
325,01:07.8,5.3,4.72,123.2,
350,01:13.0,5.27,4.74,124.48,
375,01:18.4,5.33,4.69,126.32,
400,01:23.7,5.33,4.69,129.03,
425,01:29.0,5.3,4.72,131.74,
450,01:34.3,5.31,4.71,131.21,
475,01:39.7,5.36,4.67,130.15,
500,01:45.1,5.42,4.62,125.95,
Av,,5.25,4.79,130.13,
