Race,,Dist,500m,Time,02:01.3
Split,Time,Secs,Vel,SR,
25,7.11,7.11,3.51,131.77,
50,12.06,4.94,5.06,133.04,
75,17.07,5.01,4.99,127.12,
100,22.23,5.16,4.85,121.9,
125,27.58,5.36,4.67,115.63,
150,33.16,5.58,4.48,104.05,
175,38.86,5.69,4.39,101.12,
200,44.66,5.8,4.31,99.17,
225,50.62,5.96,4.19,98.72,
250,56.54,5.92,4.22,99.26,
275,01:02.5,6,4.16,97.3,
300,01:08.6,6.1,4.1,96.97,
325,01:14.8,6.21,4.03,93.59,
350,01:21.1,6.28,3.98,92.94,
375,01:27.6,6.47,3.86,88.72,
400,01:34.1,6.5,3.85,87.1,
425,01:40.7,6.61,3.78,85.11,
450,01:47.5,6.74,3.71,83.33,
475,01:54.3,6.85,3.65,80.81,
500,02:01.3,7.03,3.56,78.82,
Av,,6.07,4.17,100.82,
