Race,,Dist,500m,Time,01:56.9
Split,Time,Secs,Vel,SR,
25,6.94,6.94,3.6,133.53,
50,11.82,4.89,5.12,140.85,
75,16.84,5.01,4.99,135.25,
100,22.07,5.23,4.78,127.93,
125,27.51,5.44,4.59,120.97,
150,33.08,5.57,4.49,114.94,
175,38.85,5.76,4.34,113.21,
200,44.71,5.86,4.26,112.36,
225,50.66,5.95,4.2,111.11,
250,56.69,6.03,4.15,109.29,
275,01:02.7,6.01,4.16,108.7,
300,01:08.7,5.98,4.18,110.5,
325,01:14.6,5.93,4.22,109.49,
350,01:20.5,5.91,4.23,110.09,
375,01:26.4,5.84,4.28,112.15,
400,01:32.3,5.92,4.22,111.94,
425,01:38.3,5.99,4.17,110.7,
450,01:44.3,6.04,4.14,110.91,
475,01:50.5,6.17,4.05,107.53,
500,01:56.9,6.44,3.88,103.45,
Av,,5.85,4.3,115.74,
