Race,,Dist,500,Time,116.7
Split,Time,Secs,Vel,SR,
25,6.8,6.8,3.68,128.05,
50,11.6,4.8,5.21,138.25,
75,16.49,4.89,5.11,132.16,
100,21.54,5.05,4.95,126.17,
125,26.81,5.28,4.74,118.34,
150,32.23,5.42,4.62,112.27,
175,37.75,5.52,4.53,109.98,
200,43.39,5.64,4.44,105.68,
225,49.11,5.72,4.37,106.72,
250,54.85,5.74,4.36,105.68,
275,60.62,5.77,4.33,102.47,
300,66.54,5.92,4.22,100.93,
325,72.49,5.95,4.2,100.19,
350,78.55,6.06,4.13,97.3,
375,84.74,6.19,4.04,94.86,
400,90.84,6.1,4.1,96.6,
425,97.03,6.19,4.04,93.1,
450,103.43,6.4,3.91,89.55,
475,110.01,6.58,3.8,87.8,
500,116.69,6.68,3.74,86.26,
Av,,5.83,4.32,106.62,
