Race,,Dist,500m,Time,01:40.8
Split,Time,Secs,Vel,SR,
25,7.23,7.23,3.46,118,
50,11.85,4.62,5.41,126,
75,16.41,4.56,5.48,126,
100,21.01,4.60,5.43,125,
125,25.70,4.69,5.33,121,
150,30.48,4.78,5.23,119,
175,35.29,4.81,5.2,119,
200,40.10,4.81,5.19,119,
225,45.01,4.91,5.1,118,
250,49.93,4.92,5.08,118,
275,54.84,4.90,5.1,119,
300,59.76,4.92,5.08,118,
325,01:04.7,4.95,5.05,116,
350,01:09.8,5.07,4.93,115,
375,01:14.9,5.14,4.86,114,
400,01:20.0,5.11,4.89,114,
425,01:25.2,5.15,4.85,114,
450,01:30.4,5.17,4.83,114,
475,01:35.6,5.20,4.81,115,
500,01:40.8,5.22,4.79,116,
Av,,5.04,5.01,118,
