Race,,Dist,500,Time,01:22.7
Split,Time,Secs,Vel,SR,
25,6.52,6.52,3.84,130.43,
50,10.28,3.77,6.64,154.73,
75,13.92,3.63,6.88,148.61,
100,17.57,3.66,6.84,140.47,
125,21.33,3.76,6.66,132.96,
150,25.17,3.84,6.51,130.03,
175,29.08,3.91,6.39,129.63,
200,33.03,3.95,6.33,127.32,
225,37.06,4.03,6.2,125.75,
250,41.13,4.07,6.14,126.98,
275,45.24,4.11,6.08,128.69,
300,49.33,4.09,6.11,128.05,
325,53.39,4.06,6.15,130.08,
350,57.43,4.04,6.19,132.6,
375,01:01.5,4.06,6.16,130.79,
400,01:05.6,4.14,6.04,130.08,
425,01:09.8,4.18,5.99,130.43,
450,01:14.0,4.23,5.9,128.34,
475,01:18.4,4.32,5.78,127.32,
500,01:22.7,4.37,5.73,125,
Av,,4.14,6.13,131.91,
