Race,,Dist,1000,Time,03:11.9
Split,Time,Secs,Vel,SR,
25,6.43,6.43,3.89,130.43,
50,10.49,4.06,6.16,145.95,
75,14.47,3.98,6.28,140.63,
100,18.46,3.99,6.27,137.93,
125,22.52,4.07,6.15,135.98,
150,26.7,4.18,5.99,132.96,
175,30.99,4.29,5.83,131.71,
200,35.33,4.34,5.76,129.03,
225,39.77,4.44,5.63,127.66,
250,44.25,4.48,5.58,125.87,
275,48.8,4.56,5.49,125,
300,53.4,4.6,5.44,124.42,
325,58.04,4.64,5.39,123.71,
350,01:02.7,4.66,5.36,122.45,
375,01:07.4,4.72,5.3,122.14,
400,01:12.2,4.78,5.23,123.01,
425,01:17.0,4.79,5.21,121.08,
450,01:21.8,4.81,5.2,120.54,
475,01:26.6,4.84,5.17,120.6,
500,01:31.5,4.84,5.16,120.27,
525,01:36.3,4.86,5.15,120.27,
550,01:41.2,4.89,5.11,119.7,
575,01:46.2,4.96,5.04,119.47,
600,01:51.2,5.01,4.99,119.21,
625,01:56.2,4.99,5.01,120,
650,02:01.2,4.97,5.03,119.47,
675,02:06.2,5.03,4.97,120.27,
700,02:11.2,5,5,120.27,
725,02:16.2,5.02,4.98,119.21,
750,02:21.2,5.02,4.98,118.94,
775,02:26.2,4.98,5.02,120,
800,02:31.2,5,5,119.21,
825,02:36.3,5.07,4.93,118.68,
850,02:41.3,5.05,4.95,120,
875,02:46.4,5.06,4.94,119.21,
900,02:51.5,5.1,4.91,119.73,
925,02:56.5,5.07,4.94,120.81,
950,03:01.6,5.03,4.97,121.46,
975,03:06.7,5.12,4.89,119.21,
1000,03:11.9,5.21,4.8,117.65,
Av,,4.8,5.25,123.85,
