Race,,Dist,500,Time,01:38.7
Split,Time,Secs,Vel,SR,
25,6.4,6.4,3.91,138.84,
50,10.81,4.41,5.67,150,
75,15.21,4.4,5.68,136.36,
100,19.77,4.56,5.48,131.07,
125,24.37,4.6,5.44,130.75,
150,29.01,4.64,5.39,127.06,
175,33.78,4.77,5.24,124.14,
200,38.63,4.85,5.16,121.08,
225,43.48,4.86,5.15,124.42,
250,48.36,4.87,5.13,124.14,
275,53.26,4.9,5.1,126.46,
300,58.22,4.96,5.04,125.29,
325,01:03.2,4.98,5.02,124.74,
350,01:08.2,4.97,5.03,125.29,
375,01:13.2,5.02,4.98,125.52,
400,01:18.2,4.98,5.02,126.76,
425,01:23.2,4.98,5.02,126.32,
450,01:28.2,5.06,4.94,127.36,
475,01:33.4,5.16,4.85,125.26,
500,01:38.7,5.29,4.73,126.05,
Av,,4.93,5.1,128.35,
