Race,,Dist,500,Time,01:38.4
Split,Time,Secs,Vel,SR,
25,6.7,6.7,3.73,127.27,
50,11.13,4.42,5.65,141.73,
75,15.56,4.43,5.64,134.33,
100,20.01,4.45,5.62,134.66,
125,24.5,4.49,5.57,128.69,
150,29.07,4.58,5.46,123.85,
175,33.76,4.69,5.33,123.57,
200,38.5,4.74,5.28,119.11,
225,43.3,4.8,5.2,118.52,
250,48.2,4.9,5.1,115.88,
275,53.18,4.98,5.02,115.38,
300,58.15,4.97,5.03,114.65,
325,01:03.1,4.97,5.03,113.21,
350,01:08.1,4.94,5.06,112.5,
375,01:13.0,4.97,5.03,114.01,
400,01:18.0,5,5,114.16,
425,01:23.1,5.04,4.96,111.37,
450,01:28.1,5.01,4.99,113.74,
475,01:33.2,5.13,4.87,110.88,
500,01:38.4,5.22,4.79,110.09,
Av,,4.92,5.12,119.88,
