Race,,Dist,1000,Time,03:28.9
Split,Time,Secs,Vel,SR,
25,6.45,6.45,3.88,134.19,
50,10.9,4.45,5.62,144.58,
75,15.45,4.55,5.49,138.11,
100,20.05,4.6,5.44,131.39,
125,24.85,4.8,5.21,128.57,
150,29.72,4.88,5.13,125.79,
175,34.61,4.89,5.11,119.7,
200,39.64,5.03,4.97,117.9,
225,44.81,5.17,4.83,117.14,
250,49.98,5.17,4.84,113.92,
275,55.19,5.21,4.8,111.57,
300,01:00.4,5.22,4.79,109.09,
325,01:05.6,5.23,4.78,110.88,
350,01:10.9,5.25,4.76,110.88,
375,01:16.1,5.22,4.79,108.84,
400,01:21.3,5.22,4.79,109.98,
425,01:26.6,5.23,4.78,110.6,
450,01:31.8,5.24,4.77,110.88,
475,01:37.1,5.29,4.73,111.34,
500,01:42.4,5.35,4.67,109.31,
525,01:47.6,5.17,4.83,111.11,
550,01:52.9,5.25,4.77,111.8,
575,01:58.1,5.27,4.74,114.65,
600,02:03.4,5.26,4.75,113.45,
625,02:08.6,5.26,4.75,112.5,
650,02:13.9,5.28,4.74,110.85,
675,02:19.3,5.38,4.65,109.31,
700,02:24.6,5.29,4.73,110.2,
725,02:29.9,5.29,4.72,113.21,
750,02:35.2,5.31,4.7,111.8,
775,02:40.5,5.34,4.68,112.27,
800,02:45.9,5.35,4.67,110.88,
825,02:51.2,5.28,4.74,112.5,
850,02:56.4,5.22,4.79,113.21,
875,03:01.7,5.3,4.71,113.92,
900,03:07.0,5.34,4.69,116.38,
925,03:12.5,5.43,4.6,112.73,
950,03:17.9,5.41,4.62,113.64,
975,03:23.3,5.46,4.58,112.03,
1000,03:28.9,5.57,4.5,112.73,
Av,,5.22,4.8,115.6,
