Race,,Dist,500,Time,01:38.1
Split,Time,Secs,Vel,SR,
25,6.45,6.45,3.88,143.1,
50,10.78,4.33,5.78,152.67,
75,15.18,4.4,5.68,138.82,
100,19.65,4.48,5.58,134.83,
125,24.13,4.48,5.58,129.73,
150,28.75,4.62,5.41,128.57,
175,33.47,4.72,5.29,125,
200,38.23,4.75,5.26,124.42,
225,42.99,4.77,5.24,121.21,
250,47.82,4.83,5.18,121.62,
275,52.66,4.84,5.16,121.9,
300,57.53,4.87,5.13,122.17,
325,01:02.5,4.92,5.08,121.9,
350,01:07.5,5.01,4.99,117.65,
375,01:12.5,5.05,4.95,118.94,
400,01:17.6,5.08,4.92,116.38,
425,01:22.6,5.02,4.98,117.9,
450,01:27.7,5.11,4.9,117.9,
475,01:32.8,5.11,4.89,117.9,
500,01:38.1,5.27,4.75,113.21,
Av,,4.9,5.13,125.29,
