Race,,Dist,500,Time,106.59
Split,Time,Secs,Vel,SR,
25,7.63,7.63,3.28,120.17,
50,12.31,4.68,5.35,134.33,
75,16.97,4.66,5.36,130.43,
100,21.77,4.79,5.21,125.58,
125,26.68,4.91,5.09,121.9,
150,31.69,5.02,4.98,118.94,
175,36.75,5.05,4.95,118.42,
200,41.85,5.1,4.9,119.47,
225,46.97,5.12,4.88,118.42,
250,52.15,5.18,4.83,115.88,
275,57.41,5.26,4.75,116.63,
300,62.73,5.32,4.7,116.96,
325,68.13,5.4,4.63,113.68,
350,73.59,5.46,4.58,114.16,
375,79.02,5.43,4.61,113.42,
400,84.46,5.45,4.59,113.45,
425,89.9,5.43,4.6,114.16,
450,95.41,5.51,4.53,112.78,
475,100.99,5.58,4.48,112.97,
500,106.59,5.61,4.47,113.85,
Av,,5.33,4.74,118.28,
