Race,,Dist,500m,Time,01:52.4
Split,Time,Secs,Vel,SR,
25,7.74,7.74,3.23,109,
50,12.83,5.09,4.91,114,
75,17.95,5.12,4.88,112,
100,23.17,5.22,4.79,109,
125,28.42,5.25,4.76,105,
150,33.75,5.33,4.69,108,
175,39.13,5.38,4.65,106,
200,44.49,5.36,4.66,106,
225,49.99,5.50,4.55,105,
250,55.56,5.57,4.49,105,
275,01:01.2,5.65,4.43,104,
300,01:06.9,5.66,4.42,105,
325,01:12.5,5.59,4.47,105,
350,01:18.0,5.56,4.5,105,
375,01:23.7,5.63,4.44,105,
400,01:29.4,5.75,4.35,105,
425,01:35.1,5.71,4.38,107,
450,01:40.8,5.70,4.39,105,
475,01:46.6,5.76,4.34,104,
500,01:52.4,5.86,4.27,104,
Av,,5.62,4.48,106,
,,,,,
