Race,,Dist,500m,Time,01:55.6
Split,Time,Secs,Vel,SR,
25,7.88,7.88,3.17,107,
50,13.02,5.14,4.86,117,
75,18.15,5.12,4.88,116,
100,23.59,5.44,4.6,113,
125,29.23,5.65,4.43,104,
150,34.88,5.64,4.43,105,
175,40.48,5.60,4.47,105,
200,46.14,5.67,4.41,103,
225,51.85,5.71,4.38,103,
250,57.59,5.74,4.36,105,
275,01:03.3,5.70,4.39,105,
300,01:09.0,5.68,4.4,106,
325,01:14.7,5.75,4.35,106,
350,01:20.5,5.74,4.35,105,
375,01:26.3,5.81,4.3,105,
400,01:32.1,5.80,4.31,105,
425,01:38.0,5.87,4.26,105,
450,01:43.9,5.90,4.24,106,
475,01:49.7,5.85,4.27,105,
500,01:55.6,5.89,4.25,105,
Av,,5.78,4.35,107,
