Race,,Dist,500,Time,02:10.7
Split,Time,Secs,Vel,SR,
25,7.72,7.72,3.24,116.59,
50,13.37,5.65,4.42,124.76,
75,19.04,5.66,4.41,120.24,
100,24.91,5.88,4.25,116.5,
125,31.02,6.1,4.1,111.11,
150,37.29,6.27,3.99,107.72,
175,43.77,6.48,3.86,106.38,
200,50.19,6.42,3.89,106.97,
225,56.55,6.36,3.93,104.9,
250,01:02.9,6.39,3.92,103.81,
275,01:09.4,6.51,3.84,104.35,
300,01:16.0,6.58,3.8,102.17,
325,01:22.6,6.59,3.79,102.74,
350,01:29.3,6.68,3.74,102.92,
375,01:36.0,6.74,3.71,102.48,
400,01:42.9,6.88,3.63,101.87,
425,01:49.8,6.89,3.63,104.1,
450,01:56.7,6.85,3.65,102.96,
475,02:03.7,7.03,3.56,101.69,
500,02:10.7,7,3.57,102.17,
Av,,6.53,3.85,107.32,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
