Race,,Dist,500,Time,02:05.1
Split,Time,Secs,Vel,SR,
25,7.59,7.59,3.29,110.95,
50,13.17,5.58,4.48,119.05,
75,18.77,5.6,4.47,119.35,
100,24.44,5.68,4.4,115.63,
125,30.21,5.77,4.33,111.73,
150,36.03,5.82,4.3,111.11,
175,41.9,5.87,4.26,110.29,
200,47.79,5.89,4.25,108.22,
225,53.72,5.93,4.22,109.09,
250,59.7,5.98,4.18,109.09,
275,01:05.8,6.1,4.1,107.33,
300,01:12.0,6.19,4.04,106.76,
325,01:18.3,6.26,4,105.45,
350,01:24.6,6.33,3.95,103.81,
375,01:31.0,6.46,3.87,101.87,
400,01:37.7,6.69,3.74,101.69,
425,01:44.6,6.9,3.62,100.61,
450,01:51.4,6.75,3.71,99.67,
475,01:58.1,6.72,3.72,98.52,
500,02:05.1,6.98,3.58,94.79,
Av,,6.25,4.02,107.25,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
