Race,,Dist,500m,Time,01:59.6
Split,Time,Secs,Vel,SR,
25,7.45,7.45,3.36,115,
50,12.67,5.23,4.78,121,
75,17.98,5.31,4.71,121,
100,23.37,5.38,4.64,116,
125,28.79,5.42,4.61,114,
150,34.29,5.50,4.54,109,
175,39.94,5.65,4.42,102,
200,45.72,5.77,4.33,100,
225,51.61,5.89,4.24,100,
250,57.51,5.90,4.24,99,
275,01:03.5,5.96,4.2,99,
300,01:09.5,6.06,4.12,101,
325,01:15.6,6.04,4.14,101,
350,01:21.7,6.11,4.09,98,
375,01:27.9,6.23,4.01,100,
400,01:34.2,6.33,3.95,102,
425,01:40.4,6.17,4.05,100,
450,01:46.8,6.34,3.94,98,
475,01:53.1,6.39,3.91,97,
500,01:59.6,6.46,3.87,94,
Av,,5.98,4.21,104,
,,,,,
