Race,,Dist,500m,Time,01:58.3
Split,Time,Secs,Vel,SR,
25,7.49,7.49,3.34,117,
50,12.68,5.19,4.82,125,
75,17.91,5.23,4.78,122,
100,23.34,5.43,4.61,116,
125,28.88,5.54,4.51,112,
150,34.55,5.66,4.41,110,
175,40.22,5.67,4.41,107,
200,46.03,5.81,4.31,106,
225,51.85,5.82,4.3,106,
250,57.77,5.92,4.22,107,
275,01:03.7,5.91,4.23,107,
300,01:09.6,5.92,4.22,108,
325,01:15.4,5.85,4.28,109,
350,01:21.4,5.98,4.18,111,
375,01:27.4,5.98,4.18,109,
400,01:33.6,6.18,4.04,107,
425,01:39.8,6.24,4.01,106,
450,01:46.0,6.16,4.06,106,
475,01:52.1,6.13,4.08,106,
500,01:58.3,6.17,4.06,105,
Av,,5.91,4.25,110,
,,,,,
