Race,,Dist,500,Time,116.64
Split,Time,Secs,Vel,SR,
25,7.26,7.26,3.44,120.52,
50,12.25,4.99,5.01,137.61,
75,17.37,5.11,4.89,132,
100,22.59,5.22,4.79,125.79,
125,27.93,5.35,4.68,121.9,
150,33.4,5.47,4.57,116.73,
175,38.92,5.52,4.53,112.03,
200,44.57,5.64,4.43,113.85,
225,50.31,5.74,4.36,109.89,
250,56.05,5.74,4.35,109.53,
275,61.93,5.88,4.25,109.49,
300,67.88,5.95,4.2,109.89,
325,73.93,6.05,4.13,110.5,
350,79.92,5.99,4.17,110.29,
375,85.96,6.04,4.14,110.29,
400,92.02,6.06,4.13,110.29,
425,98.08,6.06,4.12,111.32,
450,104.15,6.07,4.12,110.55,
475,110.37,6.22,4.02,108.3,
500,116.65,6.27,3.99,107.33,
Av,,5.83,4.32,114.91,
