Race,,Dist,500,Time,115.47
Split,Time,Secs,Vel,SR,
25,7.17,7.17,3.49,122.45,
50,12.06,4.9,5.11,140.19,
75,16.95,4.89,5.12,136.36,
100,21.97,5.02,4.98,131.87,
125,27.2,5.23,4.78,124.48,
150,32.55,5.35,4.67,120.48,
175,38.01,5.46,4.58,117.19,
200,43.63,5.62,4.45,116.88,
225,49.25,5.62,4.45,112.78,
250,55.02,5.77,4.33,114.29,
275,60.78,5.76,4.34,111.94,
300,66.65,5.87,4.26,113.85,
325,72.58,5.93,4.21,111.94,
350,78.57,5.98,4.18,113.42,
375,84.53,5.96,4.19,114.98,
400,90.52,5.99,4.17,112.36,
425,96.77,6.25,4,112.15,
450,103,6.22,4.02,112.05,
475,109.2,6.2,4.03,111.49,
500,115.47,6.27,3.99,110.09,
Av,,5.77,4.37,118.06,
