Race,,Dist,500,Time,119.83
Split,Time,Secs,Vel,SR,
25,7.19,7.19,3.48,116.99,
50,12.39,5.2,4.81,129.03,
75,17.61,5.22,4.79,127.66,
100,22.97,5.35,4.67,123.46,
125,28.39,5.42,4.61,117.88,
150,33.85,5.47,4.57,116.88,
175,39.54,5.69,4.39,111.94,
200,45.28,5.74,4.35,109.76,
225,51.19,5.91,4.23,109.09,
250,57.18,5.99,4.17,108.5,
275,63.13,5.96,4.2,109.89,
300,69.22,6.09,4.11,107.91,
325,75.48,6.26,3.99,106.57,
350,81.71,6.24,4.01,105.63,
375,87.94,6.22,4.02,105.08,
400,94.21,6.28,3.98,105.45,
425,100.59,6.37,3.92,103.99,
450,106.98,6.4,3.91,103.81,
475,113.37,6.39,3.91,103.63,
500,119.83,6.46,3.87,104.35,
Av,,5.99,4.2,111.37,
