Race,,Dist,500m,Time,02:01.6
Split,Time,Secs,Vel,SR,
25,7.62,7.62,3.28,117.32,
50,12.94,5.32,4.7,125,
75,18.33,5.39,4.64,121.95,
100,23.84,5.51,4.53,114.29,
125,29.42,5.58,4.48,110.2,
150,35.13,5.71,4.38,111.94,
175,40.91,5.78,4.33,111.73,
200,46.63,5.72,4.37,111.11,
225,52.55,5.93,4.22,110.7,
250,58.51,5.96,4.19,109.29,
275,01:04.6,6.1,4.1,111.52,
300,01:10.7,6.09,4.1,110.74,
325,01:16.8,6.11,4.09,109.49,
350,01:23.0,6.18,4.04,109.49,
375,01:29.1,6.08,4.11,110.29,
400,01:35.2,6.13,4.08,111.3,
425,01:41.5,6.25,4,111.11,
450,01:48.0,6.51,3.84,110,
475,01:54.6,6.65,3.76,108.37,
500,02:01.6,6.96,3.59,102.17,
Av,,6.08,4.14,111.9,
