Race,,Dist,500m,Time,01:55.8
Split,Time,Secs,Vel,SR,
25,7.23,7.23,3.46,121.92,
50,12.36,5.13,4.87,130.72,
75,17.51,5.15,4.86,127.93,
100,22.75,5.24,4.77,122.7,
125,28.09,5.34,4.68,118.81,
150,33.52,5.44,4.6,115.63,
175,39.05,5.52,4.53,115.63,
200,44.57,5.52,4.53,113.21,
225,50.24,5.68,4.41,111.94,
250,55.97,5.72,4.37,113.45,
275,01:01.7,5.73,4.36,112.15,
300,01:07.5,5.75,4.34,111.52,
325,01:13.3,5.89,4.24,110.5,
350,01:19.3,5.9,4.24,112.57,
375,01:25.2,5.94,4.21,111.11,
400,01:31.2,5.98,4.18,108.89,
425,01:37.2,6.07,4.12,109.29,
450,01:43.4,6.11,4.09,109.29,
475,01:49.5,6.18,4.04,108.7,
500,01:55.8,6.29,3.98,103.63,
Av,,5.79,4.34,114.48,
