Race,,Dist,500m,Time,01:56.4
Split,Time,Secs,Vel,SR,
25,7.34,7.34,3.41,119.83,
50,12.43,5.09,4.91,127.39,
75,17.52,5.1,4.91,124.71,
100,22.72,5.2,4.81,122.2,
125,28.03,5.31,4.71,120.54,
150,33.37,5.34,4.68,117.42,
175,38.81,5.44,4.6,116.73,
200,44.38,5.56,4.49,113.21,
225,50.04,5.67,4.41,112.5,
250,55.84,5.79,4.32,109.49,
275,01:01.7,5.85,4.28,105.88,
300,01:07.6,5.88,4.25,106.57,
325,01:13.5,5.92,4.23,109.09,
350,01:19.4,5.97,4.19,106.3,
375,01:25.4,6,4.17,108.11,
400,01:31.5,6.06,4.13,106.95,
425,01:37.7,6.16,4.06,105.26,
450,01:43.9,6.2,4.04,105.47,
475,01:50.1,6.21,4.02,103.45,
500,01:56.4,6.36,3.93,99.67,
Av,,5.82,4.33,112.04,
