Race,,Dist,500,Time,115.31
Split,Time,Secs,Vel,SR,
25,7.04,7.04,3.55,125.37,
50,11.85,4.81,5.2,139.86,
75,16.74,4.89,5.12,137.61,
100,21.71,4.98,5.02,130.72,
125,26.87,5.16,4.85,127.12,
150,32.23,5.36,4.66,121.7,
175,37.72,5.49,4.56,118.11,
200,43.25,5.53,4.52,114.89,
225,48.88,5.63,4.44,112.78,
250,54.59,5.71,4.38,109.76,
275,60.43,5.83,4.29,109.69,
300,66.34,5.91,4.23,109.29,
325,72.24,5.9,4.24,109.89,
350,78.2,5.97,4.19,109.09,
375,84.21,6.01,4.16,109.49,
400,90.29,6.07,4.12,109.29,
425,96.41,6.13,4.08,110,
450,102.67,6.25,4,109.69,
475,108.87,6.2,4.03,108.5,
500,115.3,6.43,3.89,105.63,
Av,,5.77,4.38,116.42,
