Race,,Dist,500,Time,116.55
Split,Time,Secs,Vel,SR,
25,7,7,3.57,124.63,
50,11.86,4.86,5.14,140.19,
75,16.8,4.94,5.06,136.99,
100,21.87,5.07,4.93,129.87,
125,27.14,5.26,4.75,121.21,
150,32.54,5.41,4.62,117.88,
175,38.07,5.53,4.52,116.13,
200,43.69,5.62,4.45,115.16,
225,49.35,5.66,4.42,114.72,
250,55.08,5.73,4.36,112.36,
275,60.92,5.85,4.28,113.21,
300,66.89,5.97,4.19,112.57,
325,72.87,5.97,4.19,112.99,
350,78.92,6.05,4.13,113.21,
375,85,6.08,4.11,113.21,
400,91.16,6.17,4.05,112.78,
425,97.33,6.17,4.05,111.3,
450,103.6,6.27,3.99,111.49,
475,109.99,6.39,3.91,108.11,
500,116.56,6.57,3.8,108.37,
Av,,5.83,4.33,117.32,
