Race,,Dist,500m,Time,01:42.4
Split,Time,Secs,Vel,SR,
25,7.32,7.32,3.42,118,
50,12.01,4.69,5.33,123,
75,16.65,4.65,5.38,123,
100,21.38,4.73,5.29,120,
125,26.17,4.78,5.23,117,
150,30.96,4.79,5.22,115,
175,35.78,4.83,5.18,114,
200,40.60,4.82,5.19,113,
225,45.52,4.92,5.08,112,
250,50.56,5.03,4.97,112,
275,55.61,5.05,4.95,110,
300,01:00.7,5.05,4.95,111,
325,01:05.7,5.07,4.93,113,
350,01:10.8,5.11,4.89,110,
375,01:16.0,5.15,4.85,109,
400,01:21.2,5.17,4.83,111,
425,01:26.4,5.26,4.75,109,
450,01:31.7,5.30,4.71,111,
475,01:37.0,5.30,4.72,110,
500,01:42.3,5.31,4.71,110,
Av,,5.12,4.93,114,
