Race,,Dist,500m,Time,02:03.1
Split,Time,Secs,Vel,SR,
25,7.24,7.24,3.45,127,
50,12.30,5.05,4.95,137,
75,17.61,5.31,4.71,131,
100,23.05,5.44,4.6,125,
125,28.84,5.79,4.32,120,
150,34.68,5.83,4.29,118,
175,40.67,6.00,4.17,116,
200,46.77,6.10,4.1,115,
225,52.94,6.16,4.06,112,
250,59.25,6.31,3.96,109,
275,01:05.6,6.31,3.96,109,
300,01:12.0,6.46,3.87,110,
325,01:18.3,6.25,4,109,
350,01:24.5,6.27,3.99,109,
375,01:30.9,6.32,3.95,110,
400,01:37.2,6.30,3.97,110,
425,01:43.5,6.35,3.94,110,
450,01:50.1,6.56,3.81,109,
475,01:56.5,6.43,3.89,110,
500,02:03.1,6.56,3.81,108,
Av,,6.15,4.09,115,
,,,,,
