Race,,Dist,500m,Time,02:03.8
Split,Time,Secs,Vel,SR,
25,7.29,7.29,3.43,128,
50,12.50,5.21,4.8,140,
75,17.83,5.33,4.69,135,
100,23.36,5.53,4.52,129,
125,29.11,5.75,4.35,125,
150,35.03,5.92,4.22,122,
175,40.96,5.93,4.22,121,
200,47.06,6.10,4.1,116,
225,53.27,6.20,4.03,115,
250,59.56,6.29,3.97,117,
275,01:05.9,6.33,3.95,113,
300,01:12.3,6.45,3.88,111,
325,01:18.8,6.47,3.87,109,
350,01:25.2,6.40,3.91,110,
375,01:31.7,6.48,3.86,112,
400,01:38.0,6.34,3.94,112,
425,01:44.5,6.48,3.86,113,
450,01:50.9,6.40,3.91,114,
475,01:57.3,6.43,3.89,115,
500,02:03.8,6.48,3.86,114,
Av,,6.19,4.06,118,
,,,,,
