Race,,Dist,500,Time,131.24
Split,Time,Secs,Vel,SR,
25,7.5,7.5,3.34,124.65,
50,12.84,5.34,4.68,131.47,
75,18.32,5.48,4.56,125.52,
100,24.09,5.77,4.33,120.66,
125,30,5.91,4.23,115.38,
150,36.08,6.08,4.11,112.05,
175,42.3,6.21,4.02,110.09,
200,48.66,6.36,3.93,107.91,
225,55.08,6.42,3.89,105.43,
250,61.78,6.69,3.74,101.01,
275,68.45,6.67,3.75,98.68,
300,75.21,6.76,3.7,98.68,
325,82.05,6.84,3.66,98.68,
350,89.09,7.05,3.55,97.2,
375,96.18,7.08,3.53,95.85,
400,103.2,7.02,3.56,96.46,
425,110.08,6.88,3.63,95.39,
450,117.07,6.99,3.58,93.02,
475,124.17,7.09,3.52,89.82,
500,131.23,7.07,3.54,87.27,
Av,,6.56,3.84,105.26,
