Race,,Dist,500,Time,01:21.8
Split,Time,Secs,Vel,SR,
25,5.84,5.84,4.28,139.81,
50,9.55,3.71,6.74,153.35,
75,13.15,3.6,6.94,150,
100,16.75,3.6,6.95,147.69,
125,20.42,3.67,6.81,143.28,
150,24.18,3.76,6.65,138.73,
175,28.03,3.85,6.49,137.25,
200,31.97,3.94,6.35,134.83,
225,35.98,4.01,6.23,134.08,
250,40.01,4.03,6.2,133.7,
275,44.05,4.04,6.19,132.96,
300,48.13,4.08,6.13,132.23,
325,52.22,4.1,6.1,132.23,
350,56.35,4.12,6.06,131.87,
375,01:00.5,4.14,6.04,132.6,
400,01:04.6,4.13,6.05,132.96,
425,01:08.8,4.19,5.96,130.12,
450,01:13.1,4.25,5.88,129.38,
475,01:17.4,4.32,5.79,129.73,
500,01:21.7,4.37,5.73,126.32,
Av,,4.09,6.18,136.16,
