Race,,Dist,1000,Time,03:13.9
Split,Time,Secs,Vel,SR,
25,6.34,6.34,3.95,132.43,
50,10.35,4.02,6.22,151.9,
75,14.41,4.06,6.16,145.45,
100,18.53,4.12,6.06,140.26,
125,22.74,4.2,5.95,136.71,
150,27.03,4.29,5.83,133.7,
175,31.44,4.41,5.67,133.33,
200,35.91,4.47,5.6,131.39,
225,40.43,4.53,5.52,129.38,
250,44.98,4.54,5.5,127.06,
275,49.6,4.62,5.41,126.17,
300,54.2,4.61,5.43,125.87,
325,58.88,4.67,5.35,125,
350,01:03.7,4.79,5.22,124.71,
375,01:08.4,4.76,5.25,124.14,
400,01:13.3,4.84,5.16,123.85,
425,01:18.1,4.84,5.17,122.45,
450,01:22.9,4.83,5.18,122.17,
475,01:27.8,4.86,5.14,122.45,
500,01:32.7,4.89,5.11,120.91,
525,01:37.6,4.93,5.07,120.54,
550,01:42.6,4.95,5.05,121.7,
575,01:47.5,4.94,5.06,121.21,
600,01:52.5,4.95,5.05,121.46,
625,01:57.5,5.02,4.98,121.9,
650,02:02.5,5.05,4.95,119.47,
675,02:07.6,5.05,4.95,120.81,
700,02:12.6,5.04,4.96,121.35,
725,02:17.5,4.91,5.1,122.17,
750,02:22.4,4.91,5.09,122.73,
775,02:27.3,4.87,5.13,123.01,
800,02:32.3,4.97,5.03,122.45,
825,02:37.3,4.98,5.02,120.81,
850,02:42.2,4.97,5.03,122.45,
875,02:47.3,5.06,4.94,120.54,
900,02:52.6,5.28,4.74,118.58,
925,02:57.8,5.27,4.75,117.39,
950,03:03.1,5.29,4.72,115.38,
975,03:08.4,5.31,4.71,114.16,
1000,03:13.9,5.46,4.59,109.09,
Av,,4.85,5.19,124.91,
