Race,,Dist,500m,Time,01:30.8
Split,Time,Secs,Vel,SR,
25,6.13,6.13,4.08,131.76,
50,10.17,4.04,6.19,151.26,
75,14.13,3.96,6.31,149.58,
100,18.08,3.95,6.33,149.17,
125,22.15,4.07,6.15,144.77,
150,26.26,4.11,6.09,142.86,
175,30.42,4.16,6.01,141.59,
200,34.68,4.26,5.87,140.63,
225,39.02,4.33,5.77,139.53,
250,43.4,4.38,5.7,137.06,
275,47.88,4.48,5.58,134.33,
300,52.48,4.6,5.44,135.75,
325,57.04,4.56,5.48,134.33,
350,01:01.7,4.69,5.33,131.39,
375,01:06.5,4.75,5.27,129.03,
400,01:11.3,4.79,5.21,127.66,
425,01:16.1,4.83,5.18,127.36,
450,01:20.9,4.85,5.15,126.17,
475,01:25.9,4.93,5.07,126.17,
500,01:30.8,4.96,5.04,123.85,
Av,,4.54,5.56,136.21,
